Dataset,Model,Model architecture,Model index,Model params,Other params,Training time,Inference time,MAE,MAPE,MSE,RMSE,WAPE
Oct19-Sep20-Oct20-Dic20_F1Last,LinearRegression_0,LinearRegression,0,"{""n_jobs"": -1}","{""Forecasting horizon"": 60, ""Past history"": 120, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",4.78900719,0.13781571,1.14815398,0.00595159,2.97602706,1.36142535,0.00595478
Oct19-Sep20-Oct20-Dic20_F1Last,LinearRegression_0,LinearRegression,0,"{""n_jobs"": -1}","{""Forecasting horizon"": 240, ""Past history"": 480, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",18.81816626,0.53382397,4.05205361,0.02049317,35.78429323,4.88126410,0.02051318
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_0,LSTM,0,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529800, 120, 1], ""layers"": 1, ""output_size"": 60, ""return_sequence"": true, ""units"": 32}","{""Forecasting horizon"": 60, ""Past history"": 120, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",924.88207889,1.01661348,1.13944297,0.00591711,2.96083330,1.35874221,0.00591986
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_0,LSTM,0,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529440, 480, 1], ""layers"": 1, ""output_size"": 240, ""return_sequence"": true, ""units"": 32}","{""Forecasting horizon"": 240, ""Past history"": 480, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",1601.36953187,1.83179569,3.46560389,0.01755596,25.45402711,4.15081828,0.01755302
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_1,LSTM,1,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529800, 120, 1], ""layers"": 1, ""output_size"": 60, ""return_sequence"": true, ""units"": 64}","{""Forecasting horizon"": 60, ""Past history"": 120, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",1039.26246953,1.07173061,1.13671076,0.00590647,2.95982532,1.35788404,0.00590909
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_2,LSTM,2,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529800, 120, 1], ""layers"": 1, ""output_size"": 60, ""return_sequence"": true, ""units"": 128}","{""Forecasting horizon"": 60, ""Past history"": 120, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",1434.24306297,1.59934115,1.13571066,0.00589693,2.94120559,1.35765610,0.00589944
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_1,LSTM,1,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529440, 480, 1], ""layers"": 1, ""output_size"": 240, ""return_sequence"": true, ""units"": 64}","{""Forecasting horizon"": 240, ""Past history"": 480, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",1976.36173654,2.15881348,3.39654037,0.01723003,24.80545711,4.07387592,0.01722431
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_3,LSTM,3,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529800, 120, 1], ""layers"": 1, ""output_size"": 60, ""return_sequence"": false, ""units"": 32}","{""Forecasting horizon"": 60, ""Past history"": 120, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",908.15792680,0.97909856,1.14918905,0.00597390,2.99290673,1.36673903,0.00597679
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_4,LSTM,4,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529800, 120, 1], ""layers"": 1, ""output_size"": 60, ""return_sequence"": false, ""units"": 64}","{""Forecasting horizon"": 60, ""Past history"": 120, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",1008.53064442,0.97406769,1.14362299,0.00594158,2.97721391,1.36301874,0.00594451
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_2,LSTM,2,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529440, 480, 1], ""layers"": 1, ""output_size"": 240, ""return_sequence"": true, ""units"": 128}","{""Forecasting horizon"": 240, ""Past history"": 480, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",2730.58225393,2.96782541,3.43250155,0.01739504,25.24020873,4.10925751,0.01738895
